index,event_time,value,valueThreshold,isActive
184.0,1487467437.0,231,230,True
185.0,1487467467.0,231,230,True
186.0,1487467495.0,231,230,True
187.0,1487467575.0,231,230,True
188.0,1487467610.0,231,230,True
189.0,1487467781.0,231,230,True
190.0,1487468002.0,231,230,True
191.0,1487468004.0,231,230,True
192.0,1487468007.0,231,230,True
193.0,1487468013.0,231,230,True
194.0,1487468020.0,231,230,True
195.0,1487468283.0,231,230,True
196.0,1487468330.0,231,230,True
197.0,1487468510.0,231,230,True
198.0,1487468520.0,231,230,True
199.0,1487468652.0,231,230,True
200.0,1487468706.0,231,230,True
201.0,1487468724.0,231,230,True
202.0,1487468866.0,231,230,True
203.0,1487468913.0,231,230,True
204.0,1487468989.0,231,230,True
205.0,1487469122.0,231,230,True
206.0,1487469152.0,231,230,True
207.0,1487469156.0,231,230,True
208.0,1487469159.0,231,230,True
209.0,1487469406.0,231,230,True
210.0,1487469432.0,231,230,True
211.0,1487469682.0,231,230,True
212.0,1487469964.0,231,230,True
213.0,1487470245.0,231,230,True
214.0,1487471097.0,231,230,True
215.0,1487471382.0,231,230,True
216.0,1487471664.0,231,230,True
217.0,1487471998.0,231,230,True
218.0,1487472074.0,231,230,True
219.0,1487472083.0,231,230,True
220.0,1487472238.0,231,230,True
221.0,1487472335.0,231,230,True
222.0,1487472533.0,231,230,True
223.0,1487472664.0,231,230,True
224.0,1487472674.0,231,230,True
225.0,1487472686.0,231,230,True
226.0,1487472818.0,231,230,True
227.0,1487473110.0,231,230,True
228.0,1487473178.0,231,230,True
229.0,1487473180.0,231,230,True
230.0,1487473213.0,231,230,True
231.0,1487473229.0,231,230,True
232.0,1487473240.0,231,230,True
233.0,1487473847.0,231,230,True
234.0,1487473857.0,231,230,True
235.0,1487473981.0,231,230,True
236.0,1487474567.0,231,230,True
237.0,1487474578.0,231,230,True
238.0,1487474598.0,231,230,True
239.0,1487474623.0,231,230,True
240.0,1487474629.0,231,230,True
241.0,1487474684.0,231,230,True
242.0,1487474876.0,231,230,True
243.0,1487474884.0,231,230,True
244.0,1487475094.0,231,230,True
245.0,1487475121.0,231,230,True
246.0,1487475136.0,231,230,True
247.0,1487475154.0,231,230,True
248.0,1487475448.0,231,230,True
249.0,1487475490.0,231,230,True
250.0,1487475514.0,231,230,True
251.0,1487475537.0,231,230,True
252.0,1487475612.0,231,230,True
253.0,1487475620.0,231,230,True
254.0,1487475702.0,231,230,True
255.0,1487476051.0,231,230,True
256.0,1487476433.0,231,230,True
257.0,1487476448.0,231,230,True
258.0,1487476450.0,231,230,True
259.0,1487476490.0,231,230,True
260.0,1487476758.0,231,230,True
261.0,1487476769.0,231,230,True
262.0,1487476971.0,231,230,True
263.0,1487476975.0,231,230,True
264.0,1487476977.0,231,230,True
265.0,1487477167.0,231,230,True
266.0,1487477316.0,231,230,True
267.0,1487477583.0,231,230,True
268.0,1487477735.0,231,230,True
269.0,1487477887.0,231,230,True
270.0,1487478217.0,231,230,True
271.0,1487478456.0,231,230,True
272.0,1487478545.0,231,230,True
273.0,1487479146.0,231,230,True
274.0,1487479192.0,231,230,True
275.0,1487479199.0,231,230,True
276.0,1487479208.0,231,230,True
277.0,1487479238.0,231,230,True
278.0,1487479336.0,231,230,True
279.0,1487479346.0,231,230,True
280.0,1487479350.0,231,230,True
281.0,1487479368.0,231,230,True
282.0,1487479385.0,231,230,True
283.0,1487479413.0,231,230,True
284.0,1487479449.0,231,230,True
285.0,1487479455.0,231,230,True
286.0,1487479759.0,231,230,True
287.0,1487479908.0,231,230,True
288.0,1487480035.0,231,230,True
289.0,1487480047.0,231,230,True
290.0,1487480049.0,231,230,True
291.0,1487480110.0,231,230,True
292.0,1487480141.0,231,230,True
293.0,1487480259.0,231,230,True
294.0,1487480276.0,231,230,True
295.0,1487480279.0,231,230,True
296.0,1487480444.0,231,230,True
297.0,1487480589.0,231,230,True
298.0,1487480762.0,231,230,True
299.0,1487480966.0,231,230,True
300.0,1487481004.0,231,230,True
301.0,1487481016.0,231,230,True
302.0,1487481035.0,231,230,True
303.0,1487481090.0,231,230,True
304.0,1487481164.0,231,230,True
305.0,1487481196.0,231,230,True
306.0,1487481202.0,231,230,True
307.0,1487481256.0,231,230,True
308.0,1487481420.0,231,230,True
309.0,1487481481.0,231,230,True
310.0,1487481639.0,231,230,True
311.0,1487481761.0,231,230,True
312.0,1487481799.0,231,230,True
313.0,1487481842.0,231,230,True
314.0,1487482093.0,231,230,True
315.0,1487482444.0,231,230,True
316.0,1487482788.0,231,230,True
317.0,1487483012.0,231,230,True
318.0,1487483031.0,231,230,True
319.0,1487483044.0,231,230,True
320.0,1487483082.0,231,230,True
321.0,1487483131.0,231,230,True
322.0,1487483226.0,231,230,True
323.0,1487483230.0,231,230,True
324.0,1487483268.0,231,230,True
325.0,1487483489.0,231,230,True
326.0,1487483526.0,231,230,True
327.0,1487483826.0,231,230,True
328.0,1487483986.0,231,230,True
329.0,1487484012.0,231,230,True
330.0,1487484030.0,231,230,True
331.0,1487484215.0,231,230,True
332.0,1487484418.0,231,230,True
333.0,1487484456.0,231,230,True
334.0,1487484457.0,231,230,True
335.0,1487484466.0,231,230,True
336.0,1487484468.0,231,230,True
337.0,1487484482.0,231,230,True
338.0,1487484799.0,231,230,True
339.0,1487485326.0,231,230,True
340.0,1487485514.0,231,230,True
341.0,1487485547.0,231,230,True
342.0,1487485689.0,231,230,True
343.0,1487485708.0,231,230,True
344.0,1487485823.0,231,230,True
345.0,1487485837.0,231,230,True
346.0,1487485838.0,231,230,True
347.0,1487485847.0,231,230,True
348.0,1487485855.0,231,230,True
349.0,1487485857.0,231,230,True
350.0,1487486179.0,231,230,True
351.0,1487486187.0,231,230,True
352.0,1487486254.0,231,230,True
353.0,1487486503.0,231,230,True
354.0,1487486893.0,231,230,True
355.0,1487487043.0,231,230,True
356.0,1487487051.0,231,230,True
357.0,1487487133.0,231,230,True
358.0,1487487138.0,231,230,True
359.0,1487487197.0,231,230,True
360.0,1487487200.0,231,230,True
361.0,1487487203.0,231,230,True
362.0,1487487229.0,231,230,True
363.0,1487487245.0,231,230,True
364.0,1487487293.0,231,230,True
365.0,1487487677.0,231,230,True
366.0,1487487896.0,231,230,True
367.0,1487488493.0,231,230,True
368.0,1487488504.0,231,230,True
369.0,1487488545.0,231,230,True
370.0,1487488924.0,231,230,True
371.0,1487489354.0,231,230,True
372.0,1487489598.0,231,230,True
373.0,1487489618.0,231,230,True
374.0,1487489628.0,231,230,True
375.0,1487489770.0,231,230,True
376.0,1487490178.0,231,230,True
377.0,1487490778.0,231,230,True
378.0,1487491094.0,231,230,True
379.0,1487491103.0,231,230,True
380.0,1487491106.0,231,230,True
381.0,1487491122.0,231,230,True
382.0,1487491284.0,231,230,True
383.0,1487491391.0,231,230,True
384.0,1487491401.0,231,230,True
385.0,1487491411.0,231,230,True
386.0,1487491509.0,231,230,True
387.0,1487491735.0,231,230,True
388.0,1487492355.0,231,230,True
389.0,1487492435.0,231,230,True
390.0,1487492783.0,231,230,True
391.0,1487493204.0,231,230,True
392.0,1487493636.0,231,230,True
393.0,1487494053.0,231,230,True
394.0,1487494340.0,231,230,True
395.0,1487494361.0,231,230,True
396.0,1487494465.0,231,230,True
397.0,1487494471.0,231,230,True
398.0,1487494474.0,231,230,True
399.0,1487494897.0,231,230,True
400.0,1487495692.0,231,230,True
401.0,1487496348.0,231,230,True
402.0,1487496396.0,231,230,True
403.0,1487496731.0,231,230,True
404.0,1487497221.0,231,230,True
405.0,1487497253.0,231,230,True
406.0,1487497521.0,231,230,True
407.0,1487497539.0,231,230,True
408.0,1487497563.0,231,230,True
409.0,1487497564.0,231,230,True
410.0,1487497587.0,231,230,True
411.0,1487497589.0,231,230,True
412.0,1487497719.0,231,230,True
413.0,1487497752.0,231,230,True
414.0,1487497765.0,231,230,True
415.0,1487497784.0,231,230,True
416.0,1487497986.0,231,230,True
417.0,1487498162.0,231,230,True
418.0,1487498499.0,231,230,True
419.0,1487499209.0,231,230,True
420.0,1487499222.0,231,230,True
421.0,1487499230.0,231,230,True
422.0,1487499232.0,231,230,True
423.0,1487499355.0,231,230,True
424.0,1487499356.0,231,230,True
425.0,1487499361.0,231,230,True
426.0,1487499363.0,231,230,True
427.0,1487499478.0,231,230,True
428.0,1487499517.0,231,230,True
429.0,1487499911.0,231,230,True
430.0,1487499912.0,231,230,True
431.0,1487499942.0,231,230,True
432.0,1487500279.0,231,230,True
433.0,1487500303.0,231,230,True
434.0,1487502535.0,231,230,True
435.0,1487502879.0,231,230,True
436.0,1487503877.0,231,230,True
437.0,1487504177.0,231,230,True
438.0,1487504217.0,231,230,True
439.0,1487504220.0,231,230,True
440.0,1487504224.0,231,230,True
441.0,1487504226.0,231,230,True
442.0,1487504340.0,231,230,True
443.0,1487504412.0,231,230,True
444.0,1487504435.0,231,230,True
445.0,1487504437.0,231,230,True
446.0,1487504443.0,231,230,True
447.0,1487504446.0,231,230,True
448.0,1487504455.0,231,230,True
449.0,1487504465.0,231,230,True
450.0,1487504466.0,231,230,True
451.0,1487504492.0,231,230,True
452.0,1487504858.0,231,230,True
453.0,1487504864.0,231,230,True
454.0,1487505138.0,231,230,True
455.0,1487505466.0,231,230,True
456.0,1487505923.0,231,230,True
457.0,1487505951.0,231,230,True
458.0,1487507094.0,231,230,True
459.0,1487507123.0,231,230,True
460.0,1487507142.0,231,230,True
461.0,1487507146.0,231,230,True
462.0,1487507149.0,231,230,True
463.0,1487507510.0,231,230,True
464.0,1487507705.0,231,230,True
465.0,1487507784.0,231,230,True
466.0,1487507789.0,231,230,True
467.0,1487508019.0,231,230,True
468.0,1487508150.0,231,230,True
469.0,1487508155.0,231,230,True
470.0,1487508177.0,231,230,True
471.0,1487508179.0,231,230,True
472.0,1487508185.0,231,230,True
473.0,1487508187.0,231,230,True
474.0,1487508192.0,231,230,True
475.0,1487508342.0,231,230,True
476.0,1487509228.0,231,230,True
477.0,1487509264.0,231,230,True
478.0,1487509578.0,231,230,True
479.0,1487509890.0,231,230,True
480.0,1487510315.0,231,230,True
481.0,1487510324.0,231,230,True
482.0,1487510508.0,231,230,True
483.0,1487510816.0,231,230,True
484.0,1487510891.0,231,230,True
485.0,1487510913.0,231,230,True
486.0,1487510935.0,231,230,True
487.0,1487510939.0,231,230,True
488.0,1487510943.0,231,230,True
489.0,1487511120.0,231,230,True
490.0,1487511487.0,231,230,True
491.0,1487511739.0,231,230,True
492.0,1487511753.0,231,230,True
493.0,1487511795.0,231,230,True
494.0,1487511974.0,231,230,True
495.0,1487512001.0,231,230,True
496.0,1487512004.0,231,230,True
497.0,1487512041.0,231,230,True
498.0,1487512351.0,331,330,True
499.0,1487512446.0,231,230,True
500.0,1487512456.0,231,230,True
501.0,1487512658.0,231,230,True
502.0,1487512963.0,231,230,True
503.0,1487513055.0,231,230,True
504.0,1487513067.0,231,230,True
505.0,1487513285.0,231,230,True
506.0,1487513298.0,231,230,True
507.0,1487513884.0,231,230,True
508.0,1487513969.0,231,230,True
509.0,1487513996.0,231,230,True
510.0,1487514028.0,231,230,True
511.0,1487514147.0,231,230,True
512.0,1487514167.0,231,230,True
513.0,1487514449.0,231,230,True
514.0,1487514490.0,231,230,True
515.0,1487514507.0,231,230,True
516.0,1487514586.0,231,230,True
517.0,1487514631.0,231,230,True
518.0,1487514792.0,231,230,True
519.0,1487514853.0,231,230,True
520.0,1487514855.0,231,230,True
521.0,1487514905.0,231,230,True
522.0,1487515128.0,231,230,True
523.0,1487515147.0,231,230,True
524.0,1487515150.0,231,230,True
525.0,1487515152.0,231,230,True
526.0,1487515240.0,231,230,True
527.0,1487515264.0,231,230,True
528.0,1487515309.0,231,230,True
529.0,1487515333.0,231,230,True
530.0,1487515370.0,231,230,True
531.0,1487515382.0,231,230,True
532.0,1487515699.0,231,230,True
533.0,1487516008.0,231,230,True
534.0,1487516308.0,231,230,True
535.0,1487516334.0,231,230,True
536.0,1487516362.0,231,230,True
537.0,1487516527.0,231,230,True
538.0,1487516831.0,231,230,True
539.0,1487516866.0,231,230,True
540.0,1487516868.0,231,230,True
541.0,1487517129.0,231,230,True
542.0,1487517201.0,231,230,True
543.0,1487517503.0,231,230,True
544.0,1487518101.0,231,230,True
545.0,1487518104.0,231,230,True
546.0,1487518108.0,231,230,True
547.0,1487518118.0,231,230,True
548.0,1487518256.0,231,230,True
549.0,1487518302.0,231,230,True
550.0,1487518318.0,231,230,True
551.0,1487518339.0,231,230,True
552.0,1487518344.0,231,230,True
553.0,1487518351.0,231,230,True
554.0,1487518374.0,231,230,True
555.0,1487518697.0,231,230,True
556.0,1487518720.0,231,230,True
557.0,1487518779.0,231,230,True
558.0,1487518989.0,231,230,True
559.0,1487519129.0,231,230,True
560.0,1487519285.0,231,230,True
561.0,1487519300.0,231,230,True
562.0,1487519343.0,231,230,True
563.0,1487519382.0,231,230,True
564.0,1487520465.0,231,230,True
565.0,1487521055.0,231,230,True
566.0,1487521351.0,231,230,True
567.0,1487522666.0,231,230,True
568.0,1487522817.0,231,230,True
569.0,1487522879.0,231,230,True
570.0,1487522894.0,231,230,True
571.0,1487522975.0,231,230,True
572.0,1487523110.0,231,230,True
573.0,1487523121.0,231,230,True
574.0,1487523123.0,231,230,True
575.0,1487523399.0,231,230,True
576.0,1487523690.0,231,230,True
577.0,1487524088.0,231,230,True
578.0,1487524274.0,231,230,True
579.0,1487524333.0,231,230,True
580.0,1487524347.0,231,230,True
581.0,1487524360.0,231,230,True
582.0,1487524364.0,231,230,True
583.0,1487524382.0,231,230,True
584.0,1487524563.0,231,230,True
